station_id,n_per_id,station_name,station_latitude,station_longitude,city,departure_count,arrival_count,net_change,prop_inflow,is_transit,elevation,elev_units,station_longitude.1,station_latitude.1
81,1,Berry St at 4th St,37.77588,-122.39317,SanFrancisco,40291,38993,-1298,-0.032215631282420394,FALSE,3.29,meters,-122.39317000000001,37.77588
84,1,Duboce Park,37.7692005,-122.4338119,SanFrancisco,6519,3484,-3035,-0.46556220279183924,FALSE,51.36,meters,-122.43381190000001,37.7692005
85,1,Church St at Duboce Ave,37.7700831,-122.4291557,SanFrancisco,7428,4999,-2429,-0.32700592353257946,FALSE,38.7,meters,-122.4291557,37.7700831
86,1,Market St at Dolores St,37.7693053,-122.4268256,SanFrancisco,10938,9348,-1590,-0.1453647833241909,FALSE,36.6,meters,-122.4268256,37.7693053
87,1,Folsom St at 13th St,37.769757,-122.415674,SanFrancisco,1587,1595,8,0.005040957781978576,FALSE,6.12,meters,-122.41567399999998,37.769757
88,1,11th St at Bryant St,37.7700298,-122.4117258,SanFrancisco,9959,11423,1464,0.14700271111557386,FALSE,5.99,meters,-122.4117258,37.7700298
89,1,Division St at Potrero Ave,37.76921786152374,-122.40764558315276,SanFrancisco,11565,12801,1236,0.10687418936446173,FALSE,5.38,meters,-122.40764558315276,37.76921786152374
90,1,Townsend St at 7th St,37.771058,-122.402717,SanFrancisco,21908,24155,2247,0.10256527295964944,FALSE,3.79,meters,-122.402717,37.771058
91,1,Berry St at King St,37.771762110313176,-122.39843755960464,SanFrancisco,2172,2091,-81,-0.03729281767955801,FALSE,2.7,meters,-122.39843755960464,37.771762110313176
92,1,Mission Bay Kids Park,37.772300631747626,-122.39302754402159,SanFrancisco,4167,4111,-56,-0.01343892488600912,FALSE,3.4,meters,-122.39302754402159,37.772300631747626
93,1,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,SanFrancisco,18513,19670,1157,0.062496623993950194,FALSE,3.51,meters,-122.3911984,37.7704074
95,1,Sanchez St at 15th St,37.7662185,-122.4310597,SanFrancisco,7615,5710,-1905,-0.25016414970453055,FALSE,38.52,meters,-122.43105970000002,37.7662185
96,1,Dolores St at 15th St,37.7662102,-122.4266136,SanFrancisco,7562,6611,-951,-0.12576038085162655,FALSE,21.78,meters,-122.4266136,37.7662102
97,1,14th St at Mission St,37.7682646,-122.4201102,SanFrancisco,7950,7744,-206,-0.02591194968553459,FALSE,7.94,meters,-122.4201102,37.7682646
98,1,Valencia St at 16th St,37.765052,-122.4218661,SanFrancisco,14125,15257,1132,0.08014159292035399,FALSE,14.61,meters,-122.42186610000002,37.765052
99,1,Folsom St at 15th St,37.7670373,-122.4154425,SanFrancisco,6496,6706,210,0.032327586206896554,FALSE,5.59,meters,-122.4154425,37.7670373
100,1,Bryant St at 15th St,37.7671004,-122.410662,SanFrancisco,6745,6607,-138,-0.02045959970348406,FALSE,14.62,meters,-122.41066200000002,37.7671004
101,2,Potrero Ave at 15th St (Temporary Location),37.766629,-122.407706,SanFrancisco,1732,1789,57,0.032909930715935336,FALSE,14.45,meters,-122.407706,37.766629
101,2,San Bruno Ave at 16th St,37.76600774273675,-122.40567684173583,SanFrancisco,3318,3362,44,0.013261000602772756,FALSE,9.4,meters,-122.40567684173583,37.76600774273675
102,1,Irwin St at 8th St,37.7668828,-122.3995794,SanFrancisco,4041,4869,828,0.20489977728285078,FALSE,4.56,meters,-122.39957940000001,37.7668828
104,1,4th St at 16th St,37.76704457969368,-122.39083349704742,SanFrancisco,5743,6125,382,0.06651575831446979,FALSE,4.37,meters,-122.39083349704742,37.76704457969368
105,1,16th St at Prosper St,37.764285,-122.4318042,SanFrancisco,5164,3949,-1215,-0.2352827265685515,FALSE,38.54,meters,-122.4318042,37.764285
106,1,Sanchez St at 17th St,37.7632417,-122.4306746,SanFrancisco,3837,3305,-532,-0.1386499869689862,FALSE,30.73,meters,-122.4306746,37.7632417
